PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH
GOM05695,5,OFFSHORE PLATFORM,REMOVED,29.177080596800000,-89.740932345800005,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23276,1,NOT AVAILABLE,SAMEDAN OIL CORP.,THIRD PARTY,NONE,1/1/1986 0:00:00,5/24/1990 0:00:00,N,4,20,-999,U,N,N,N,N,N,N,-999,18,G05669,WD,GULF OF MEXICO,2.995732273553991
GOM05696,A (BOXER),OFFSHORE PLATFORM,IN SERVICE,27.946056527000000,-90.997066466899994,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23277,1,NOT AVAILABLE,SHELL OIL CO.,THIRD PARTY,BOTH,1/1/1988 0:00:00,,Y,75,750,0,G,Y,N,N,N,U,Y,50,19,G04131,GC,GULF OF MEXICO,6.620073206530356
GOM05697,M,OFFSHORE PLATFORM,IN SERVICE,29.424061285699999,-92.511365963100005,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23282,1,NOT AVAILABLE,"EPL OIL & GAS, INC.",THIRD PARTY,BOTH,1/1/1986 0:00:00,,N,9,23,0,U,N,Y,N,N,U,Y,-999,38,204,VR,GULF OF MEXICO,3.135494215929150
GOM05698,40,OFFSHORE PLATFORM,REMOVED,28.897953818200001,-90.702973273300003,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23283,1,NOT AVAILABLE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",THIRD PARTY,NONE,1/1/1986 0:00:00,9/22/2009 0:00:00,N,7,30,0,U,N,N,N,N,U,N,-999,20,74,PL,GULF OF MEXICO,3.401197381662155
GOM05699,A,OFFSHORE PLATFORM,REMOVED,29.133768017600001,-92.274555441800004,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23285,1,NOT AVAILABLE,THE LOUISIANA LAND AND EXPLORATION CO.,THIRD PARTY,NONE,1/1/1985 0:00:00,9/16/1996 0:00:00,N,29,42,0,U,N,N,N,N,U,N,-999,109,G06663,VR,GULF OF MEXICO,3.737669618283368
GOM05700,B,OFFSHORE PLATFORM,REMOVED,29.133669014900001,-92.274166429499999,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23285,2,NOT AVAILABLE,THE LOUISIANA LAND AND EXPLORATION CO.,THIRD PARTY,NONE,1/1/1985 0:00:00,9/16/1996 0:00:00,N,29,42,0,U,N,N,N,N,U,N,-999,109,G06663,VR,GULF OF MEXICO,3.737669618283368
GOM05701,A,OFFSHORE PLATFORM,REMOVED,28.036978650900000,-93.231356726800001,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23286,1,NOT AVAILABLE,MCMORAN OIL & GAS LLC,THIRD PARTY,NONE,1/1/1986 0:00:00,7/1/2011 0:00:00,N,120,324,-999,U,N,N,N,Y,U,Y,6,618,G04200,WC,GULF OF MEXICO,5.780743515792329
GOM05702,6,OFFSHORE PLATFORM,REMOVED,29.585380409100001,-88.869318310799997,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23287,1,NOT AVAILABLE,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,THIRD PARTY,NONE,1/1/1986 0:00:00,8/19/2004 0:00:00,N,25,40,-999,U,N,N,N,N,U,N,-999,103,G01627,MP,GULF OF MEXICO,3.688879454113936
GOM05703,2,OFFSHORE PLATFORM,REMOVED,29.327821785200001,-91.518875789199996,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23288,1,NOT AVAILABLE,UNION OIL CO. OF CALIFORNIA,THIRD PARTY,NONE,1/1/1986 0:00:00,2/8/2007 0:00:00,N,6,10,0,U,N,N,N,N,U,N,-999,33,G03560,EI,GULF OF MEXICO,2.302585092994046
GOM05704,C,OFFSHORE PLATFORM,IN SERVICE,28.184696498899999,-91.506757335399996,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23289,1,FIELDWOOD ENERGY LLC; FIELDWOOD ENERGY OFFSHORE LLC; TANA EXPLORATION CO. LLC,FIELDWOOD ENERGY LLC,THIRD PARTY,BOTH,1/1/1986 0:00:00,,Y,68,287,0,G,Y,Y,Y,Y,U,Y,9,342,G02319,EI,GULF OF MEXICO,5.659482215759621
GOM05705,A,OFFSHORE PLATFORM,REMOVED,29.079818548999999,-92.134898633000006,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23290,1,NOT AVAILABLE,STONE ENERGY CORP.,THIRD PARTY,NONE,1/1/1988 0:00:00,2/19/2013 0:00:00,N,32,54,0,U,N,N,N,Y,U,N,-999,275,G05477,SM,GULF OF MEXICO,3.988984046564275
GOM05706,A,OFFSHORE PLATFORM,REMOVED,29.079818548999999,-92.134898633000006,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23290,2,NOT AVAILABLE,STONE ENERGY CORP.,THIRD PARTY,NONE,1/1/1986 0:00:00,2/22/2013 0:00:00,N,32,54,0,U,N,N,N,Y,U,N,-999,275,G05477,SM,GULF OF MEXICO,3.988984046564275
GOM05707,8,OFFSHORE PLATFORM,REMOVED,29.305162951200000,-92.035430602100007,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,23291,1,NOT AVAILABLE,JX NIPPON OIL EXPLORATION (USA) LTD.,THIRD PARTY,NONE,1/1/1986 0:00:00,12/8/2010 0:00:00,N,14,20,0,U,N,N,N,N,U,N,-999,235,G02300,SM,GULF OF MEXICO,2.995732273553991
