PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH,INSTALL_DATE,INSTALL_YEAR,residuals
GOM00874,5,OFFSHORE PLATFORM,REMOVED,28.9296689805,-91.4695728915,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1466,1,NOT AVAILABLE,WALTER OIL & GAS CORP.,THIRD PARTY,NONE,2/28/2004 0:00:00,9/3/2009 0:00:00,N,26,48,0,U,N,N,N,N,U,N,-999,142,G10726,EI,GULF OF MEXICO,3.871201010907891,2004-02-28,2004,-0.023120391774289484
GOM00875,A,OFFSHORE PLATFORM,IN SERVICE,29.2823482521,-93.7919057265,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1470,1,NOT AVAILABLE,"W & T OFFSHORE, INC.",THIRD PARTY,UNKNOWN,2/20/2004 0:00:00,,N,27,50,0,U,N,N,Y,N,U,Y,-999,119,G22246,HI,GULF OF MEXICO,3.912023005428146,2004-02-20,2004,0.19700437806064697
GOM00876,28,OFFSHORE PLATFORM,IN SERVICE,29.5613853352,-93.1490578645,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1471,1,NOT AVAILABLE,"HOACTZIN PARTNERS, LP",THIRD PARTY,NONE,5/1/2004 0:00:00,,N,13,45,-999,U,N,N,N,N,U,Y,-999,102,247,WC,GULF OF MEXICO,3.80666248977032,2004-05-01,2004,0.406979934084307
GOM00877,A,OFFSHORE PLATFORM,REMOVED,29.0005028827,-91.5952513744,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1472,1,NOT AVAILABLE,"LLOG EXPLORATION OFFSHORE, LLC",THIRD PARTY,NONE,3/22/2004 0:00:00,10/22/2008 0:00:00,N,28,42,0,U,N,N,N,N,U,N,-999,117,G24895,EI,GULF OF MEXICO,3.737669618283368,2004-03-22,2004,-0.023184966971578902
GOM00878,D,OFFSHORE PLATFORM,REMOVED,28.5967679799,-93.0260910819,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1474,1,NOT AVAILABLE,"ENERGY RESOURCE TECHNOLOGY GOM, INC.",THIRD PARTY,NONE,5/12/2004 0:00:00,8/25/2010 0:00:00,N,68,126,-999,D,Y,U,N,U,U,Y,-999,458,G24757,WC,GULF OF MEXICO,4.836281906951478,2004-05-12,2004,0.6808674151301028
GOM00879,A,OFFSHORE PLATFORM,REMOVED,29.567115444,-88.6591873806,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1475,1,NOT AVAILABLE,TANA EXPLORATION CO. LLC,THIRD PARTY,NONE,7/18/2004 0:00:00,10/10/2013 0:00:00,N,18,65,0,U,U,N,U,U,Y,Y,-999,99,G21703,MP,GULF OF MEXICO,4.174387269895637,2004-07-18,2004,0.3726623257642716
GOM00880,6,OFFSHORE PLATFORM,IN SERVICE,28.8331833783,-90.5303904071,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1477,1,APACHE CORP.,"ARENA OFFSHORE, LP",THIRD PARTY,BOTH,4/17/2004 0:00:00,,N,15,64,0,U,N,Y,N,N,N,Y,0,25,G14535,PL,GULF OF MEXICO,4.158883083359671,2004-04-17,2004,-0.22969533284698507
GOM00881,31,OFFSHORE PLATFORM,IN SERVICE,29.6186227394,-93.1216656908,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1478,1,APACHE CORP.; FIELDWOOD ENERGY OFFSHORE LLC,FIELDWOOD ENERGY LLC,THIRD PARTY,BOTH,4/10/2004 0:00:00,,N,9,37,-999,U,N,N,N,N,U,Y,-999,66,G02826,WC,GULF OF MEXICO,3.610917912644224,2004-04-10,2004,0.2366611349525254
GOM00882,D,OFFSHORE PLATFORM,REMOVED,28.5092654744,-91.0718199333,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1479,1,ANKOR E&P HOLDINGS CORP.; KOA ENERGY LP; SAMSUNG OIL & GAS USA CORP.,TAYLOR ENERGY CO.,THIRD PARTY,NONE,10/12/2004 0:00:00,5/15/2006 0:00:00,N,-999,112,-999,U,N,N,N,N,U,N,-999,218,G01022,SS,GULF OF MEXICO,4.718498871295094,2004-10-12,2004,-0.10213504108479565
GOM00883,C,OFFSHORE PLATFORM,IN SERVICE,29.0036788851,-89.6307994072,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1480,1,NOT AVAILABLE,TANA EXPLORATION CO. LLC,THIRD PARTY,NONE,6/9/2004 0:00:00,,N,38,133,0,U,N,N,N,N,N,Y,-999,61,G03186,WD,GULF OF MEXICO,4.890349128221754,2004-06-09,2004,0.4121145380081934
GOM00884,B,OFFSHORE PLATFORM,REMOVED,29.1247010115,-94.0456743732,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1481,1,NOT AVAILABLE,"EPL OIL & GAS, INC.",THIRD PARTY,NONE,12/18/2004 0:00:00,6/7/2009 0:00:00,N,34,60,0,U,U,U,U,U,U,Y,-999,A   6,G04734,HI,GULF OF MEXICO,4.0943445622221,2004-12-18,2004,0.23286114744554265
GOM00885,B SIMBA,OFFSHORE PLATFORM,IN SERVICE,28.9374890497,-88.9120108261,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1482,1,NOT AVAILABLE,ANKOR ENERGY LLC,THIRD PARTY,BOTH,1/23/2005 0:00:00,,Y,30,667,1,B,Y,Y,N,Y,N,Y,61,21,G15459,MC,GULF OF MEXICO,6.502790045915623,2005-01-23,2005,1.4030258320342517
GOM00886,A,OFFSHORE PLATFORM,IN SERVICE,29.4977318018,-93.3438054547,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1483,1,NOT AVAILABLE,"APACHE SHELF, INC.",THIRD PARTY,UNKNOWN,1/17/2004 0:00:00,,N,18,43,-999,G,Y,N,N,N,U,Y,-999,112,G21536,WC,GULF OF MEXICO,3.761200115693562,2004-01-17,2004,0.2740539875681023
GOM00887,4,OFFSHORE PLATFORM,IN SERVICE,28.3928705541,-95.8795851247,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1484,1,APACHE SHELF EXPLORATION LLC,FIELDWOOD ENERGY LLC,THIRD PARTY,BOTH,9/4/2005 0:00:00,,N,14,70,0,U,U,U,U,U,U,N,-999,491,G06069,BA,GULF OF MEXICO,4.248495242049359,2005-09-04,2005,-0.608886707900381
GOM00888,A,OFFSHORE PLATFORM,REMOVED,29.9630484926,-88.7492038053,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1485,1,NOT AVAILABLE,"WHITE OAK OPERATING CO., LLC",THIRD PARTY,NONE,12/15/2004 0:00:00,11/3/2013 0:00:00,N,4,47,-999,U,U,U,N,Y,U,Y,-999,3,G25041,CA,GULF OF MEXICO,3.850147601710058,2004-12-15,2004,0.8145584666509316
GOM00889,B,OFFSHORE PLATFORM,IN SERVICE,28.471914879,-92.195544225,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1486,1,FIELDWOOD ENERGY OFFSHORE LLC,FIELDWOOD ENERGY OFFSHORE LLC,THIRD PARTY,BOTH,5/20/2004 0:00:00,,N,72,176,-999,U,N,Y,N,N,U,Y,-999,272,G23829,VR,GULF OF MEXICO,5.170483995038151,2004-05-20,2004,0.6908517970597616
